city,school,menu_name,menu_date
부산광역시,명호고등학교,보리밥(할맥)  <br/>치즈부대찌개  (1.2.5.6.9.10.12.13.15.16.)<br/>치커리사과무침(a)  (13.)<br/>탕평채*  (1.5.6.16.)<br/>멘츠카츠*소스  (1.2.5.6.10.12.15.16.)<br/>깍두기  (9.),20220624
부산광역시,명호고등학교,현미밥  <br/>돼지고기김치찌개1  (5.6.9.10.)<br/>미나리무생채  (5.6.13.)<br/>해물떡볶이  (1.2.5.6.7.9.12.13.15.17.18.)<br/>고구마함박*소스  (1.2.5.6.10.12.15.16.)<br/>김치(명호)  (9.),20220704
부산광역시,명호고등학교,귀리밥  <br/>근대된장국1  (5.6.)<br/>두부조림1  (5.6.13.)<br/>분모자간장찜닭  (2.5.6.8.13.15.16.18.)<br/>시금치나물  (5.6.)<br/>김치(명호)  (9.),20220705
부산광역시,명호고등학교,떡갈비*나물비빔밥  (2.5.6.7.10.13.15.16.18.)<br/>미소팽이장국  (5.6.)<br/>새우꼬치  (1.5.6.8.9.12.17.18.)<br/>김치(명호)  (9.)<br/>저당요구르트  (2.),20220706
부산광역시,명호고등학교,검정쌀밥1  <br/>옹심이만두국  (1.5.6.10.16.18.)<br/>아삭고추된장무침(연)  (5.6.)<br/>잡채어묵볶음  (1.5.6.13.16.18.)<br/>고등어구이  (7.13.)<br/>김치(명호)  (9.),20220707
부산광역시,명호고등학교,참치마요덮밥(a)  (1.2.5.6.10.12.13.15.18.)<br/>츄로스  (1.2.5.6.)<br/>들깨무채국1  (5.6.)<br/>김치(명호)  (9.)<br/>짜먹는 아이스크림  (1.2.5.),20220708
부산광역시,명호고등학교,팥찰밥  (5.)<br/>쇠고기미역국1  (5.6.16.)<br/>돼지갈비찜(단호박)  (5.6.10.13.18.)<br/>얼갈이겉절이  (5.6.9.)<br/>삼색잡채*  (1.5.6.10.13.18.)<br/>김치(명호)  (9.)<br/>치즈케이크  (1.2.5.6.10.),20220711
부산광역시,명호고등학교,기장밥1  <br/>추어탕  (5.6.9.)<br/>미트볼데리야끼조림*  (1.2.5.6.10.12.13.15.16.18.)<br/>콩나물무침(고춧가루)*  (5.6.)<br/>두부담은찰도그롤  (1.2.5.6.9.10.15.16.18.)<br/>김치(명호)  (9.)<br/>저당요구르트  (2.),20220712
부산광역시,명호고등학교,잔치국수*  (1.5.6.9.18.)<br/>셀프충무김밥1  (1.5.6.9.13.17.18.)<br/>고구마맛탕1  (5.6.13.)<br/>석박지(영양량)  (9.),20220713
부산광역시,명호고등학교,혼합15곡잡곡밥(추천)  (5.)<br/>닭다리삼계탕*면  (5.6.15.)<br/>요플레과일샐러드(봄)1  (2.5.11.12.)<br/>도라지오이초무침  (5.6.)<br/>동그랑땡구이  (1.5.6.10.12.15.16.)<br/>김치(명호)  (9.)<br/>케첩  (12.),20220714
부산광역시,명호고등학교,백미밥  <br/>우동장국1  (1.2.5.6.9.13.16.)<br/>미역줄기볶음1  (5.6.9.18.)<br/>떡볶이*  (1.5.6.13.)<br/>김말이튀김(1)  (1.5.6.16.)<br/>어묵튀김(사이드)  (1.5.6.)<br/>김치(명호)  (9.)<br/>유산균주스  (2.11.12.),20220816
부산광역시,명호고등학교,토마토스파게티*  (1.2.5.6.10.12.13.15.16.18.)<br/>불고기퀘사디아  (2.4.5.6.10.13.16.)<br/>콥샐러드  (1.2.5.6.12.13.)<br/>오이피클9봉  (13.)<br/>블루베리에이드  (13.),20220817
부산광역시,명호고등학교,현미밥  <br/>옹심이만두국  (1.5.6.10.16.18.)<br/>깻잎순멸치볶음  (5.6.13.)<br/>돈육김치볶음  (5.6.9.10.13.)<br/>삼치구이  (5.6.13.18.)<br/>깍두기(명호)  (9.),20220818
부산광역시,명호고등학교,백미밥  <br/>오이무침*  (5.6.13.)<br/>치즈돈가스  (1.2.5.6.10.12.13.15.16.18.)<br/>알감자버터구이(안)*  (2.5.6.13.)<br/>김치(명호)  (9.)<br/>아이스망고바  <br/>양송이스프(안)  (2.5.6.10.13.16.18.),20220819
부산광역시,명호고등학교,차수수밥  <br/>시금치된장국1  (5.6.)<br/>오이스틱*  (5.6.)<br/>오리불고기(느타리/떡)  (5.6.13.15.)<br/>펜네미트볼볶음(크림)  (1.2.5.6.10.13.15.16.)<br/>김치(명호)  (9.),20220822
부산광역시,명호고등학교,팥찰밥  (5.)<br/>비빔당면  (1.5.6.)<br/>쇠고기미역국1  (5.6.16.)<br/>닭감자찜  (5.6.13.15.)<br/>명란달걀찜  (1.13.18.)<br/>김치(명호)  (9.)<br/>오레오케이크  (1.2.5.6.10.),20220823
부산광역시,명호고등학교,추억의도시락(소시지)  (1.2.5.6.9.10.15.16.)<br/>들깨무채국1  (5.6.)<br/>단배추된장나물  (5.6.)<br/>꽈배기도넛  (1.2.5.6.13.)<br/>깍두기(명호)  (9.),20220824
부산광역시,명호고등학교,옥수수알밥1  <br/>두부된장국  (5.6.18.)<br/>삼겹살주꾸미볶음1  (1.5.6.7.10.12.13.15.16.18.)<br/>새송이호박볶음*  (5.6.9.)<br/>고로곤치즈또띠아  (2.5.6.13.)<br/>김치(명호)  (9.),20220825
부산광역시,명호고등학교,현미밥  <br/>등뼈감자탕*  (5.6.9.10.13.)<br/>두부조림1  (5.6.13.)<br/>방울어묵볶음(안)  (1.5.6.13.)<br/>순대떡볶이  (1.2.5.6.10.12.13.16.)<br/>김치(명호)  (9.),20220826
부산광역시,명호고등학교,차조밥  <br/>허니브레드(미니)  (2.5.6.13.)<br/>닭곰탕*당면*  (1.5.6.8.10.13.15.18.)<br/>*부추겉절이(연)  (5.6.13.)<br/>피쉬*칩스  (1.2.5.6.8.10.13.16.18.)<br/>김치(명호)  (9.),20220829
